Abyssinia        4/2900/..      Bombay India
Achilles         16/9800/4000   Portsmouth
Active           12/3080/2400   Training Squadron
Agamemnon        6/8660/4500    Devonport
Agincourt        17/10690/4000  Chatham
Ajax             6/8660/4500    Chatham
Alacrity         4/1700/2000    China
Albacore         4/560/500      Particular Service
Alberta          ../370/1000    Royal Yacht Portsmouth
Alecto           2/620/350      Cape & West Africa
Alexandra        18/9490/7000   Coastguard Portland
Algiers          ../5260/..     Chatham Dockyard
Amphion          10/4300/5000   Mediterranean
Anson            10/10600/11500 Mediterranean
Archer           6/1770/3500    China Station
Arethusa         10/4300/5000   Mediterranean
Asia *           4/3594/..      Portsmouth Dockyard
Assaye           2/735/2500     Bombay - India Defence
Assistance       2/2500/1300    Particular Service
Audacious        18/6010/3300   Coastguard Hull
Aurora           12/5600/8500   Coastguard Bantry
Australia        12/5600/8500   Coastguard Southampton
Banterer         4/465/360      Particular Service
Barfleur         14/10500/13000 Chatham
Barham           6/1830/3200    Mediterranean
Barracouta       6/1850/1750    SE Coast of America
Beagle           8/1170/2000    SE Coast of America
Belleisle        4/4870/2600    Coast Defence D'port
Bellerophon      20/7550/4000   Devonport
Bellona          6/1830/3200    Channel Squadron
Benbow           12/10600/11500 Chatham
Black Prince     28/9210/4000   Devonport
Blake            12/9000/20000  N.America & W Indies.
Blanche          6/1580/3000    Cape & West Africa
Blonde           6/1580/3000    Cape & West Africa
Boadicea         14/4140/4500   East Indies
Boomerang        2/1735/2500    Australasian Waters
Boscawen *       8/4579/..      Boys Trng. Portland
Bramble          6/715/1000     Gibraltar
Brisk            6/1770/3500    East Indies
Britannia *      ../6201/..     Cadet Trng Dartmouth
Briton           5/1408/..      Reserve  at Inverness
Bullfrog         4/465/360      Hull
Buzzard          8/1140/2000    N America & W.Indies
Caledonia        ../3880        Boys Trng.Queensferry
Calypso          16/2770/4000   Training Squadron
Cambridge *      17/4971        Gunnery at Devonport
Camperdown       10/10600/11500 Mediterranean
Canada           10/2380/2000   N.America & W.Indies
Caroline         14/1420/1400   China Station
Castor *         14/1808/..     Reserve North Shields
Centurion        14/10500/13000 Portsmouth
Champion         12/2380/2000   Pacific
Cleopatra        12/2380/2000   Newfoundland
Clyde *          9/1447/..      Reserve Aberdeen
Cockatrice       2/600/390      Mediterranean
Collingwood      10/9500/9500   Mediterranean
Colossus         9/9420/5500    Coastguard Holyhead
Conqueror        6/6200/6000    Devonport
Cossack          6/1770/3500    East Indies
Crocodile        3/6211/4000    Troopship Portsmouth
Cruiser *        4/1130/..      Mediterranean
Curacoa          12/2380/2000   Australia
Cyclops          4/3560/1660    Chatham
Daedalus  *      6/1447/        Reserve at Bristol
Daphne           8/1140/2000    China Station
Dart             ../470/250     Surveying Service
